"","side","month_num","station","mean","std.error"
"1","ex_cnt","4","WQ6",10.8,2.5377155080899
"2","ex_cnt","4","WQ1",26.9,3.72812136187771
"3","ex_cnt","4","WQ7",2.2,1.26315302143309
"4","ex_cnt","4","WQ5",7.1,1.30341431973448
"5","ex_cnt","4","WQ8",12.5,4.03938939280019
"6","ex_cnt","4","WQ4",15,2.53859103528797
"7","ex_cnt","4","WQ3",11.5,1.74005108481842
"8","ex_cnt","4","WQ9",6,1.20185042515466
"9","ex_cnt","6","WQ6",3.7,2.37135685491099
"10","ex_cnt","6","WQ1",5.2,1.45143607047182
"11","ex_cnt","6","WQ7",5.9,2.27278585783077
"12","ex_cnt","6","WQ5",41.9,6.43678663792907
"13","ex_cnt","6","WQ2",26.8,3.32599191553771
"14","ex_cnt","6","WQ8",1.1,0.737111479583199
"15","ex_cnt","6","WQ4",29.7,7.54843618830343
"16","ex_cnt","6","WQ3",33,4.97772817435603
"17","ex_cnt","6","WQ9",30.4,6.11773378520729
"18","ex_cnt","7","WQ6",0,0
"19","ex_cnt","7","WQ7",2.8,0.489897948556636
"20","ex_cnt","7","WQ5",0.4,0.221108319357027
"21","ex_cnt","7","WQ8",0,0
"22","ex_cnt","7","WQ4",0.6,0.305505046330389
"23","ex_cnt","7","WQ3",1.9,0.640312423743285
"24","ex_cnt","7","WQ9",0,0
"25","ex_cnt","8","WQ6",0,0
"26","ex_cnt","8","WQ1",0,0
"27","ex_cnt","8","WQ7",0,0
"28","ex_cnt","8","WQ5",3.7,0.989388138643722
"29","ex_cnt","8","WQ8",3.9,1.19675487140108
"30","ex_cnt","8","WQ4",1,0.333333333333333
"31","ex_cnt","8","WQ3",1.9,0.690410505906933
"32","ex_cnt","8","WQ9",1.2,0.66332495807108
"33","ex_cnt","9","WQ6",0.1,0.1
"34","ex_cnt","9","WQ1",0.7,0.334995854037363
"35","ex_cnt","9","WQ5",2.4,0.748331477354788
"36","ex_cnt","9","WQ2",4,1.16428327977153
"37","ex_cnt","9","WQ8",0.2,0.133333333333333
"38","ex_cnt","9","WQ4",2.4,0.686375342732467
"39","ex_cnt","9","WQ3",0.8,0.51207638319124
"40","ex_cnt","9","WQ9",0.2,0.133333333333333
"41","ex_cnt","10","WQ6",0,0
"42","ex_cnt","10","WQ1",0,0
"43","ex_cnt","10","WQ7",0,0
"44","ex_cnt","10","WQ5",0,0
"45","ex_cnt","10","WQ2",0,0
"46","ex_cnt","10","WQ8",0,0
"47","ex_cnt","10","WQ3",0,0
"48","ex_cnt","10","WQ9",0,0
"49","in_cnt","4","WQ6",17.9,2.45153013442625
"50","in_cnt","4","WQ1",17.5,1.41617638574987
"51","in_cnt","4","WQ7",4.4,1.46969384566991
"52","in_cnt","4","WQ5",7.7,1.94393644157644
"53","in_cnt","4","WQ8",12.3,2.31924317157319
"54","in_cnt","4","WQ4",7,1.18321595661992
"55","in_cnt","4","WQ3",5.6,0.884433277428107
"56","in_cnt","4","WQ9",4,1.14503760248784
"57","in_cnt","6","WQ6",2.2,0.879393730551528
"58","in_cnt","6","WQ1",13.7,2.60789399920915
"59","in_cnt","6","WQ7",30.9,10.1515734959879
"60","in_cnt","6","WQ5",49.1,6.44541180479055
"61","in_cnt","6","WQ2",32.8,7.29048085595944
"62","in_cnt","6","WQ8",7.5,2.98979746619882
"63","in_cnt","6","WQ4",29.6,5.41643589251989
"64","in_cnt","6","WQ3",21.5,1.86934331904133
"65","in_cnt","6","WQ9",26.2,3.83492720487191
"66","in_cnt","7","WQ6",0,0
"67","in_cnt","7","WQ7",2.9,0.604611904907235
"68","in_cnt","7","WQ5",0.4,0.163299316185545
"69","in_cnt","7","WQ8",0,0
"70","in_cnt","7","WQ4",3.2,1.29786148892879
"71","in_cnt","7","WQ3",3.3,1.08576649832682
"72","in_cnt","7","WQ9",0,0
"73","in_cnt","8","WQ6",7.7,6.25752879870853
"74","in_cnt","8","WQ1",0,0
"75","in_cnt","8","WQ7",0,0
"76","in_cnt","8","WQ5",4.9,1.17803980313815
"77","in_cnt","8","WQ8",7,1.46818103636968
"78","in_cnt","8","WQ4",1.8,0.62893207547044
"79","in_cnt","8","WQ3",6.8,1.66533279957291
"80","in_cnt","8","WQ9",2.9,0.566666666666667
"81","in_cnt","9","WQ6",0.8,0.466666666666667
"82","in_cnt","9","WQ1",1.2,0.51207638319124
"83","in_cnt","9","WQ5",1.5,0.428174419288838
"84","in_cnt","9","WQ2",3.4,0.618241233033047
"85","in_cnt","9","WQ8",8.5,3.33083239512955
"86","in_cnt","9","WQ4",1.2,0.416333199893227
"87","in_cnt","9","WQ3",0.4,0.163299316185545
"88","in_cnt","9","WQ9",2.1,0.546707315561891
"89","in_cnt","10","WQ6",0,0
"90","in_cnt","10","WQ1",0,0
"91","in_cnt","10","WQ7",0.1,0.1
"92","in_cnt","10","WQ5",0.1,0.1
"93","in_cnt","10","WQ2",0.111111111111111,0.111111111111111
"94","in_cnt","10","WQ8",0,0
"95","in_cnt","10","WQ3",0.1,0.1
"96","in_cnt","10","WQ9",0,0
