"","station","month_num","total","total_kg","total_L"
"1","WQ1","10",0,0,0
"2","WQ1","4",444,1030.16241299304,1850
"3","WQ1","6",189,510.810810810811,1080
"4","WQ1","8",0,0,0
"5","WQ1","9",19,65.5172413793103,115.151515151515
"6","WQ2","10",1,3.09597523219814,6.06060606060606
"7","WQ2","6",596,1270.78891257996,2384
"8","WQ2","9",74,197.333333333333,389.473684210526
"9","WQ3","10",1,2.94985250737463,5.26315789473684
"10","WQ3","4",171,394.919168591224,900
"11","WQ3","6",545,1735.66878980892,3633.33333333333
"12","WQ3","7",52,165.079365079365,315.151515151515
"13","WQ3","8",87,221.938775510204,362.5
"14","WQ3","9",12,40.133779264214,72.7272727272727
"15","WQ4","4",220,489.977728285078,956.521739130435
"16","WQ4","6",593,1360.09174311927,2635.55555555556
"17","WQ4","7",38,93.1372549019608,176.744186046512
"18","WQ4","8",28,74.2705570291777,130.232558139535
"19","WQ4","9",36,88.8888888888889,167.441860465116
"20","WQ5","10",1,2.9940119760479,5.26315789473684
"21","WQ5","4",148,354.066985645933,740
"22","WQ5","6",910,2740.96385542169,5200
"23","WQ5","7",8,17.7777777777778,33.3333333333333
"24","WQ5","8",86,222.222222222222,358.333333333333
"25","WQ5","9",39,94.4309927360775,181.395348837209
"26","WQ6","10",0,0,0
"27","WQ6","4",287,656.75057208238,1334.88372093023
"28","WQ6","6",59,185.534591194969,393.333333333333
"29","WQ6","7",0,0,0
"30","WQ6","8",77,177.011494252874,320.833333333333
"31","WQ6","9",9,28.6624203821656,54.5454545454545
"32","WQ7","10",1,2.60416666666667,5.26315789473684
"33","WQ7","4",66,144.736842105263,286.95652173913
"34","WQ7","6",368,1426.35658914729,3504.7619047619
"35","WQ7","7",57,133.802816901408,265.116279069767
"36","WQ7","8",0,0,0
"37","WQ8","10",0,0,0
"38","WQ8","4",248,548.672566371681,1180.95238095238
"39","WQ8","6",86,277.41935483871,573.333333333333
"40","WQ8","7",0,0,0
"41","WQ8","8",109,231.914893617021,411.320754716981
"42","WQ8","9",87,220.253164556962,457.894736842105
"43","WQ9","10",0,0,0
"44","WQ9","4",100,222.222222222222,500
"45","WQ9","6",566,1304.14746543779,3234.28571428571
"46","WQ9","7",0,0,0
"47","WQ9","8",41,115.168539325843,190.697674418605
"48","WQ9","9",23,64.6067415730337,121.052631578947
