"","station","month_num","size_mean","size_std.error"
"1","WQ1","4",11.8,0.533333333333333
"2","WQ1","6",2.77777777777778,0.222222222222222
"3","WQ1","9",4.25,0.674801558131828
"4","WQ2","6",14.05,0.467214590615715
"5","WQ2","9",8.38888888888889,0.953627024859173
"6","WQ2","10",4,NA
"7","WQ3","4",17,1.02198064778373
"8","WQ3","6",17.25,0.851855559785133
"9","WQ3","7",9.07692307692308,0.858304369400823
"10","WQ3","8",9.3125,1.47681738320394
"11","WQ3","9",4.57142857142857,0.649437223665993
"12","WQ3","10",7,NA
"13","WQ4","4",19.1,1.75404294892305
"14","WQ4","6",12.3888888888889,0.583761125428343
"15","WQ4","7",7.81818181818182,1.46980630646096
"16","WQ4","8",7.66666666666667,0.771984194112545
"17","WQ4","9",9.33333333333333,0.913739916453602
"18","WQ5","4",15.6,1.44683562761405
"19","WQ5","6",10.85,0.58613362945573
"20","WQ5","7",7.28571428571429,0.714285714285714
"21","WQ5","8",5.70588235294118,0.610958178760029
"22","WQ5","9",6.14285714285714,0.863529321181413
"23","WQ5","10",5,NA
"24","WQ6","4",16.8,0.879393730551528
"25","WQ6","6",2,0.471404520791032
"26","WQ6","8",1,0
"27","WQ6","9",1.75,0.25
"28","WQ7","4",9.55555555555556,1.21462283939308
"29","WQ7","6",1.125,0.0853912563829966
"30","WQ7","7",8.88235294117647,0.574471323077194
"31","WQ7","10",4,NA
"32","WQ8","4",9.7,0.966666666666667
"33","WQ8","6",2.2,0.249443825784929
"34","WQ8","8",5.25,0.504149448741806
"35","WQ8","9",5.5,1.30930734141595
"36","WQ9","4",20,1.92642443690665
"37","WQ9","6",12.6,0.658547045036507
"38","WQ9","8",6.58333333333333,0.865660838243643
"39","WQ9","9",11.1111111111111,1.60246723353955
