,Date,Month,Locality,Site,Bar,Station,Counter,Quadrat_ID,Live_Dead,Size,Count,Treatment,Location,Substation,Year,Epoch,NewStation
1,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,D,58.5,1,control,NA,CRN1,2010,1,CRN1
2,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,58.3,1,control,NA,CRN1,2010,1,CRN1
3,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,37.6,1,control,NA,CRN1,2010,1,CRN1
4,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,44.4,1,control,NA,CRN1,2010,1,CRN1
5,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,31.1,1,control,NA,CRN1,2010,1,CRN1
6,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,51.9,1,control,NA,CRN1,2010,1,CRN1
7,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,39.5,1,control,NA,CRN1,2010,1,CRN1
8,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,30.1,1,control,NA,CRN1,2010,1,CRN1
9,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,49.5,1,control,NA,CRN1,2010,1,CRN1
10,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,47.1,1,control,NA,CRN1,2010,1,CRN1
11,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,49.7,1,control,NA,CRN1,2010,1,CRN1
12,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,53.1,1,control,NA,CRN1,2010,1,CRN1
13,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,30.8,1,control,NA,CRN1,2010,1,CRN1
14,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,26.7,1,control,NA,CRN1,2010,1,CRN1
15,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,45.2,1,control,NA,CRN1,2010,1,CRN1
16,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,33.1,1,control,NA,CRN1,2010,1,CRN1
17,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,47.1,1,control,NA,CRN1,2010,1,CRN1
18,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_01,L,28.4,1,control,NA,CRN1,2010,1,CRN1
19,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_02,D,NA,0,control,NA,CRN1,2010,1,CRN1
20,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_02,L,NA,0,control,NA,CRN1,2010,1,CRN1
21,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,D,32.4,1,control,NA,CRN1,2010,1,CRN1
22,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,D,15.4,1,control,NA,CRN1,2010,1,CRN1
23,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,42.6,1,control,NA,CRN1,2010,1,CRN1
24,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,38,1,control,NA,CRN1,2010,1,CRN1
25,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,21.7,1,control,NA,CRN1,2010,1,CRN1
26,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,30,1,control,NA,CRN1,2010,1,CRN1
27,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,54.6,1,control,NA,CRN1,2010,1,CRN1
28,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,33.2,1,control,NA,CRN1,2010,1,CRN1
29,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_03,L,22.8,1,control,NA,CRN1,2010,1,CRN1
30,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,56.4,1,control,NA,CRN1,2010,1,CRN1
31,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,27.8,1,control,NA,CRN1,2010,1,CRN1
32,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,52,1,control,NA,CRN1,2010,1,CRN1
33,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,42.7,1,control,NA,CRN1,2010,1,CRN1
34,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,47.8,1,control,NA,CRN1,2010,1,CRN1
35,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,48.2,1,control,NA,CRN1,2010,1,CRN1
36,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,41.2,1,control,NA,CRN1,2010,1,CRN1
37,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,64,1,control,NA,CRN1,2010,1,CRN1
38,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,49,1,control,NA,CRN1,2010,1,CRN1
39,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,48.2,1,control,NA,CRN1,2010,1,CRN1
40,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,54.3,1,control,NA,CRN1,2010,1,CRN1
41,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,44.2,1,control,NA,CRN1,2010,1,CRN1
42,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,29.4,1,control,NA,CRN1,2010,1,CRN1
43,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,58.4,1,control,NA,CRN1,2010,1,CRN1
44,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,53.3,1,control,NA,CRN1,2010,1,CRN1
45,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,60.7,1,control,NA,CRN1,2010,1,CRN1
46,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,44,1,control,NA,CRN1,2010,1,CRN1
47,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,70.7,1,control,NA,CRN1,2010,1,CRN1
48,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,33.2,1,control,NA,CRN1,2010,1,CRN1
49,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,56.5,1,control,NA,CRN1,2010,1,CRN1
50,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,28.6,1,control,NA,CRN1,2010,1,CRN1
51,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_04,L,42.3,1,control,NA,CRN1,2010,1,CRN1
52,5/23/2010,May,CR,N,1,CRN1,DF,20100523_CRN1_01_05,D,60.2,1,control,NA,CRN1,2010,1,CRN1
53,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,D,32.5,1,control,NA,CRI1,2010,1,CRI1
54,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,D,40.6,1,control,NA,CRI1,2010,1,CRI1
55,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,D,41.8,1,control,NA,CRI1,2010,1,CRI1
56,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,D,23,1,control,NA,CRI1,2010,1,CRI1
57,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,D,37.6,1,control,NA,CRI1,2010,1,CRI1
58,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,50.1,1,control,NA,CRI1,2010,1,CRI1
59,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,37.2,1,control,NA,CRI1,2010,1,CRI1
60,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,25.7,1,control,NA,CRI1,2010,1,CRI1
61,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,41,1,control,NA,CRI1,2010,1,CRI1
62,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,27.1,1,control,NA,CRI1,2010,1,CRI1
63,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,33.6,1,control,NA,CRI1,2010,1,CRI1
64,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,34,1,control,NA,CRI1,2010,1,CRI1
65,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,34.5,1,control,NA,CRI1,2010,1,CRI1
66,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,30.1,1,control,NA,CRI1,2010,1,CRI1
67,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,25.2,1,control,NA,CRI1,2010,1,CRI1
68,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,43.5,1,control,NA,CRI1,2010,1,CRI1
69,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,31.1,1,control,NA,CRI1,2010,1,CRI1
70,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,25.7,1,control,NA,CRI1,2010,1,CRI1
71,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,47.8,1,control,NA,CRI1,2010,1,CRI1
72,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,68.9,1,control,NA,CRI1,2010,1,CRI1
73,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,28.6,1,control,NA,CRI1,2010,1,CRI1
74,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,32.9,1,control,NA,CRI1,2010,1,CRI1
75,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,60.5,1,control,NA,CRI1,2010,1,CRI1
76,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,44.6,1,control,NA,CRI1,2010,1,CRI1
77,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,21.5,1,control,NA,CRI1,2010,1,CRI1
78,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,19.1,1,control,NA,CRI1,2010,1,CRI1
79,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_01,L,49.6,1,control,NA,CRI1,2010,1,CRI1
80,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_02,D,40,1,control,NA,CRI1,2010,1,CRI1
81,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_02,D,51.8,1,control,NA,CRI1,2010,1,CRI1
82,5/24/2010,May,CR,I,1,CRI1,FREDRICK,20100524_CRI1_01_02,D,42.8,1,control,NA,CRI1,2010,1,CRI1
